,id,url,verified,username,fullname,avatar,timestamp,text,links,isQuote,isRetweet,isReply,replyingTo,likes,replies,retweets,quotes,searchQuery,images,quotedTweet
630,1831139301658370560,https://twitter.com/luinalaska/status/1831139301658370504,True,@luinalaska,LuInAlaska Matchmaker & Mentor,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1642245569879097344/S_go-Z09.jpg,2024-09-04 01:16:00+00:00,Temu me watched one YouTube video on oil painting and decided to buy art supplies like how hard can it be.,[],False,False,False,,59,7,1,0,Temu,,
631,1831114201458217472,https://twitter.com/thomposting/status/1831114201458217414,False,@thomposting,thom,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1806405529083781120/Cxit8bF-.jpg,2024-09-03 23:37:00+00:00,Ask a 25 year old when they last torrented,[],False,False,True,"['/thomposting', '/heaveninterface']",17,13,0,0,Temu,,
632,1831015812934877696,https://twitter.com/Actually_Tina/status/1831015812934877692,False,@Actually_Tina,Actually_Tina_Tural_Tourist_Era_FFXIV,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1741876551850070016/iVo-ldzk.jpg,2024-09-03 17:06:00+00:00,From the gameplay I saw it actually wasn't terrible but there is just no audience for it and it does nothing interesting. It's literally Overwatch from Temu but without the brand name from Blizzard. How did they expect this to do well,[],False,False,False,,122,9,11,1,Temu,,
633,1831000172010037504,https://twitter.com/_geeemoney_/status/1831000172010037571,False,@_geeemoney_,Cuz 🍃🥩🕊️,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1768272979140423680/cFStulET.jpg,2024-09-03 16:03:00+00:00,Can yall share yall temu experiences here ? The shit I’ve seen has actually been crazy lol,[],False,False,False,,1,4,0,1,Temu,,
634,1830996922859131392,https://twitter.com/TiffMoodNukes/status/1830996922859131320,True,@TiffMoodNukes,It's 🇺🇸 Tiff 🇺🇸,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1610663997254307842/LLBn6nIZ.jpg,2024-09-03 15:50:00+00:00,"Kamala spoke in a ‘Temu Hillary Blaccent’ before a group of Blacks 

Look for Kamala to adopt a ‘Latccent’ in front of Latinos 

Can’t wait to hear what ‘Kum Dum Ho’ Kamala’s Asian accent will be",[],False,False,False,,1564,194,326,23,Temu,,
635,1830996403184943616,https://twitter.com/plasticmartyr/status/1830996403184943512,True,@plasticmartyr,Plastic Martyr,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1707885653281972224/UmWFLkxJ.jpg,2024-09-03 15:48:00+00:00,Trump is what happens when you order a president from Temu.,[],False,False,True,['/mmpadellan'],1100,154,95,7,Temu,,
636,1830942713551741184,https://twitter.com/JamieHolePunch/status/1830942713551741148,False,@JamieHolePunch,Jamie McDonald,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1275414014248521728/II06gSuY.jpg,2024-09-03 12:15:00+00:00,How many fucking times do I need to tell this hell app that I don't like the Temu Ad?,[],False,False,False,,64,6,4,1,Temu,,
637,1830888930343842048,https://twitter.com/CameronPetersN/status/1830888930343842073,False,@CameronPetersN,Cameron Peters-Nielsen,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1847099607873933312/MezaavRI.jpg,2024-09-03 08:41:00+00:00,"Chidimma and her crown from Temu are still going to Miss Universe to compete on the international stage.

You are mocking her, but have never left South Africa.

Look at your life.",[],False,False,False,,2809,162,386,25,Temu,,
638,1830729668208599552,https://twitter.com/mattchuuverse/status/1830729668208599468,False,@mattchuuverse,cha ✧.*,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1829673678650437632/1jgWLGSu.jpg,2024-09-02 22:09:00+00:00,should i buy temu gunini and thewnini,[],False,False,False,,15,11,0,1,Temu,,
639,1830725773549847040,https://twitter.com/thomposting/status/1830725773549846992,False,@thomposting,thom,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1806405529083781120/Cxit8bF-.jpg,2024-09-02 21:53:00+00:00,Ay man Dallas is a horrible place its an awful place,[],False,False,False,,158,9,21,0,Temu,,
